,0
0,0.001
1,0.001
2,0.001
3,0.001
4,0.001
5,0.001
6,0.001
7,0.001
8,0.001
9,0.001
10,0.001
11,0.001
12,0.001
13,0.001
14,0.001
15,0.001
16,0.001
17,0.001
18,0.001
19,0.001
20,0.001
21,0.001
22,0.001
23,0.001
24,0.001
25,0.001
26,0.001
27,0.001
28,0.001
29,0.001
30,0.001
31,0.001
32,0.001
33,0.001
34,0.001
35,0.001
36,0.001
37,0.001
38,0.001
39,0.001
40,0.001
41,0.001
42,0.001
43,0.001
44,0.001
45,0.001
46,0.001
47,0.001
48,0.001
49,0.001
50,0.001
51,0.001
52,0.001
53,0.001
54,0.001
55,0.001
56,0.001
57,0.001
58,0.001
59,0.00080000004
60,0.00080000004
61,0.00080000004
62,0.00080000004
63,0.00080000004
64,0.00080000004
65,0.00080000004
66,0.00080000004
67,0.00080000004
68,0.00080000004
69,0.00080000004
70,0.00080000004
71,0.00080000004
72,0.00080000004
73,0.00080000004
74,0.00080000004
75,0.00080000004
76,0.00080000004
77,0.00080000004
78,0.00080000004
79,0.00080000004
80,0.00080000004
81,0.00080000004
82,0.00080000004
83,0.00080000004
84,0.00080000004
85,0.00080000004
86,0.00080000004
87,0.00080000004
88,0.00080000004
89,0.00080000004
90,0.00080000004
91,0.00080000004
92,0.00080000004
93,0.00080000004
94,0.00080000004
95,0.00080000004
96,0.00080000004
97,0.00080000004
98,0.00080000004
99,0.00080000004
100,0.00080000004
101,0.00080000004
102,0.00080000004
103,0.00080000004
104,0.00080000004
105,0.00080000004
106,0.00080000004
107,0.00080000004
108,0.00080000004
109,0.00080000004
110,0.00080000004
111,0.00080000004
112,0.00080000004
113,0.00080000004
114,0.00080000004
115,0.00080000004
116,0.00080000004
117,0.00080000004
118,0.00080000004
119,0.00080000004
120,0.00080000004
121,0.00080000004
122,0.00080000004
123,0.00080000004
124,0.00080000004
125,0.00080000004
126,0.00080000004
127,0.00080000004
128,0.00080000004
129,0.00080000004
130,0.00080000004
131,0.00080000004
132,0.00080000004
133,0.00080000004
134,0.00080000004
135,0.00080000004
136,0.00080000004
137,0.00080000004
138,0.00080000004
139,0.00080000004
140,0.00080000004
141,0.00080000004
142,0.00080000004
143,0.00080000004
144,0.00080000004
145,0.00080000004
146,0.00080000004
147,0.00080000004
148,0.00080000004
149,0.00080000004
150,0.00080000004
151,0.00080000004
152,0.00080000004
153,0.00064000004
154,0.00064000004
155,0.00064000004
156,0.00064000004
157,0.00064000004
158,0.00064000004
159,0.00064000004
160,0.00064000004
161,0.00064000004
162,0.00064000004
163,0.00064000004
164,0.00064000004
165,0.00064000004
166,0.00064000004
167,0.00064000004
168,0.00064000004
169,0.00064000004
170,0.00064000004
171,0.00064000004
172,0.00064000004
173,0.00064000004
174,0.00064000004
175,0.00064000004
176,0.00064000004
177,0.00064000004
178,0.00064000004
179,0.00064000004
180,0.00064000004
181,0.00064000004
182,0.00064000004
183,0.00064000004
184,0.00064000004
185,0.00064000004
186,0.00064000004
187,0.00064000004
188,0.00064000004
189,0.00064000004
190,0.00064000004
191,0.00064000004
192,0.00064000004
193,0.00064000004
194,0.00064000004
195,0.00064000004
196,0.00064000004
197,0.00064000004
198,0.00064000004
199,0.00064000004
200,0.00064000004
201,0.00064000004
202,0.00064000004
203,0.00064000004
204,0.00064000004
205,0.00064000004
206,0.00064000004
207,0.00064000004
208,0.00064000004
209,0.00064000004
210,0.00064000004
211,0.00064000004
212,0.00064000004
213,0.00064000004
214,0.00064000004
215,0.00064000004
216,0.00064000004
217,0.00064000004
218,0.00064000004
219,0.00064000004
220,0.00064000004
221,0.00064000004
222,0.00064000004
223,0.00064000004
224,0.00064000004
225,0.00064000004
226,0.00064000004
227,0.00064000004
228,0.00064000004
229,0.00064000004
230,0.00064000004
231,0.00064000004
232,0.00064000004
233,0.00064000004
234,0.00064000004
235,0.00064000004
236,0.00064000004
237,0.00064000004
238,0.00051200006
239,0.00051200006
240,0.00051200006
241,0.00051200006
242,0.00051200006
243,0.00051200006
244,0.00051200006
245,0.00051200006
246,0.00051200006
247,0.00051200006
248,0.00051200006
249,0.00051200006
250,0.00051200006
251,0.00051200006
252,0.00051200006
253,0.00051200006
254,0.00051200006
255,0.00051200006
